Go.	Idź.
I don't think any of us are happy about what happened.	Nie sądzę, żeby ktokolwiek z nas był szczęśliwy z powodu tego, co się stało.
I don't think being poor is anything to be ashamed of.	Nie sądzę, że bycie biednym jest czymkolwiek, czego można się wstydzić.
I expected to make new friends when I moved to Boston.	Miałem nadzieję poznać nowych przyjaciół po przeprowadzce do Bostonu.
I found it rather difficult to make myself understood.	Dość trudno mi było osiągnąć zrozumienie.
I guess the question is whether you'll be here or not.	Myślę, że pytaniem jest, czy tu będziesz, czy nie.
I have been writing since two o'clock without a break.	Piszę bez przerwy od drugiej.
I just want to let you know that I won't let you down.	Chciałbym ci tylko powiedzieć, że cię nie zawiodę.
I knew I shouldn't have done it, but I did it anyways.	Wiem, że nie powinienem był tego robić, ale to zrobiłem.
I know an American girl who speaks Japanese very well.	Znam jedną Amerykankę, która bardzo dobrze mówi po japońsku.
I like playing tennis, though I'm not very good at it.	Lubię grać w tenisa, choć nie jestem w niego dobry.
I stayed at an inexpensive hotel when I was in Boston.	Zatrzymałem się w niedrogim hotelu, kiedy byłem w Bostonie.
I think that everyone should study a foreign language.	Myślę, że wszyscy powinni uczyć się jakiegoś języka obcego.
I think this is the best Chinese restaurant in Boston.	Myślę, że to najlepsza chińska restauracja w Bostonie.
I thought you weren't going back for a couple of days.	Myślałem, że nie wrócisz przez kilka dni.
I took a bus so I wouldn't be late for my appointment.	Wsiadłem do autobusu, więc nie spóźnię się na spotkanie.
I tried to call you last night, but you didn't answer.	Próbowałem dzwonić do ciebie wczoraj wieczorem, ale nie odebrałeś.
I used to like walking in the rain when I was a child.	Kiedy byłem dzieckiem, lubiłem chodzić po deszczu.
I was the one who suggested that Tom hire a bodyguard.	To ja zaproponowałem, żeby Tom zatrudnił ochroniarza.
I wish I could play the flute as well as Ian Anderson.	Chciałbym umieć grać na flecie tak jak Ian Anderson.
I wish I had studied French harder when I was younger.	Szkoda, że nie uczyłem się pilniej francuskiego, kiedy byłem młodszy.
I would have gone to the movies if I had had the time.	Chodziłbym na filmy, jeśli miałbym czas.
I'd like to rent your most inexpensive car for a week.	Chciałbym wynająć najtańszy samochód na tydzień.
I'm afraid you'll have to learn to live with the pain.	Obawiam się, że musisz nauczyć się żyć z bólem.
I'm afraid you'll have to learn to live with the pain.	Niestety, musisz nauczyć się znosić ból.
I've been eating the stew that we made a few days ago.	Wciąż jem tę potrawkę, którą ugotowaliśmy kilka dni temu.
If I had been rich, I would have given you some money.	Gdybym był bogaty, oddałbym ci trochę pieniędzy.
If I had known about it, I would have changed my plan.	Gdybym wtedy o tym wiedział, zmieniłbym swój plan.
If I lost my key, I wouldn't be able to lock the door.	Gdybym zgubił klucze, nie mógłbym zamknąć drzwi.
If you are free tomorrow, I can show you around Kyoto.	Jeśli jesteś jutro wolny, mogę pokazać ci Kioto.
If you ate fewer burgers, you'd probably be healthier.	Gdybyś jadł mniej hamburgerów, pewnie byłbyś zdrowszy.
If you don't want to give a speech, you don't have to.	Jeśli nie chcesz wygłosić przemowy, to nie musisz.
If you had missed that bus, you might not be here now.	Gdybyś się spóźnił na autobus, mogłoby cię tu teraz nie być.
If you really want to know, all you have to do is ask.	Jeśli naprawdę chcesz wiedzieć, musisz po prostu zapytać.
In most countries, teachers do not receive high wages.	W większości krajów nauczyciele nie zarabiają zbyt wiele.
In retrospect, I should have known that it was a scam.	Kiedy teraz o tym myślę, to powinienem był się zorientować, że to oszustwo.
In retrospect, I should have known that it was a scam.	Dziś wiem, że powinienem był się zorientować, że to szwindel.
It is fair to say that both balls are of equal weight.	Uczciwie będzie powiedzieć, że obie piłki są równej wagi.
It is hard for the couple to live together any longer.	Tej parze jest trudno wytrzymać, mieszkając razem.
It is our policy not to give out personal information.	Mamy zasadę, że nie ujawniamy danych osobowych.
It is wrong for a man to conceal things from his wife.	Błędem jest ukrywanie różnych rzeczy przed żoną.
It took Tom almost three hours to finish his homework.	Prawie trzy godziny zajęło Tomowi dokończenie zadania domowego.
It was very difficult for her to control her emotions.	Miała spore trudności z zapanowaniem nad swoimi emocjami.
It will not be long before business returns to normal.	Niedługo wszystko wróci do poziomu sprzed kryzysu.
It's so difficult that I've decided to give up trying.	To jest tak trudne, że postanowiłem zaniechać dalszych prób.
Just out of curiosity, did you really have to do that?	Tak z ciekawości, czy naprawdę musiałeś to zrobić?
Just out of curiosity, did you really have to do that?	Tak z ciekawości, czy naprawdę musieliście to zrobić?
Mary bought a fake Louis Vuitton handbag in Hong Kong.	Mary kupiła w Hong Kongu podrobioną torebkę Louis Vuitton.
Mary can't come. She has to take care of her daughter.	Mary nie może przyjść. Musi zająć się swoją córką.
Mary's dream of going abroad finally became a reality.	Marzenie Mary o wyjeździe za granicę w końcu stało się rzeczywistością.
May I come to see you at your office tomorrow morning?	Czy mogę się z Tobą zobaczyć Twoim w biurze jutro rano?
Maybe I am unhappy, but I don't intend to kill myself.	Może i jestem nieszczęśliwy, ale nie zamierzam się zabijać.
Mississippi is the poorest state in the United States.	Mississippi to najbiedniejszy stan w Stanach Zjednoczonych.
More than 40 percent of the students go to university.	Więcej niż 40 procent studentów wybiera uniwersytet.
Mother gets up earlier than anybody else in my family.	Mama wstaje wcześniej, niż ktokolwiek inny w mojej rodzinie.
My brother is in the same line of business as you are.	Mój brat pracuje w tej samej branży co Ty.
My father always comes up with something witty to say.	Mój ojciec zawsze wymyśla coś dowcipnego do powiedzenia.
My father took out his wallet and gave me ten dollars.	Mój ojciec wyciągnął portfel i dał mi dziesięć dolarów.
My whole body was one big bruise after the rugby game.	Całe moje ciało jest jednym wielkim siniakiem po grze w rugby.
No matter how you do it, the results will be the same.	Nie ważne jak to zrobisz, wyniki będą te same.
People who talk about themselves all the time bore me.	Ludzie, którzy wiecznie mówią o sobie, nudzą mnie.
Perhaps we should go to Boston next week to visit Tom.	Może powinniśmy w przyszłym tygodniu jechać do Bostonu odwiedzić Toma.
Romania is a Balkan country. Its capital is Bucharest.	Rumunia jest bałkańskim krajem. Jej stolicą jest Bukareszt.
Seen at a distance, the rock looked like a human face.	Oglądana z daleka, skała wyglądała niczym ludzka twarz.
She asked him why he was crying, but he didn't answer.	Zapytała go, czemu płakał, ale nie odpowiedział.
She's smarter than Mary, but not as beautiful as Mary.	Jest mądrzejsza od Mary, ale nie jest tak piękna jak ona.
Sometimes we forget to do things that need to be done.	Czasami zapominamy zrobić rzeczy, które trzeba zrobić.
The catapult hurled the boulder over the castle walls.	Głaz wystrzelony z katapulty przeleciał ponad murami zamku.
The company has decided to employ two new secretaries.	Ta firma postanowiła zatrudnić dwie nowe sekretarki.
The express starts at six and gets into Tokyo at nine.	Ekspres wyjeżdża o szóstej i przyjeżdża do Tokio o dziewiątej.
The financial situation is getting worse week by week.	Sytuacja finansowa pogarsza się z tygodnia na tydzień.
The majority of big banks are introducing this system.	Większość dużych banków wprowadza ten system.
The old teacher began to talk about the good old days.	Stary nauczyciel zaczął mówić o starych dobrych czasach.
The picture you are looking at is a copy of a Picasso.	Oglądasz reprodukcję obrazu Picassa.
The police are looking into the cause of the accident.	Policja szuka przyczyny wypadku.
The police suspect that Tom was trying to poison Mary.	Policja podejrzewa, że Tom próbował otruć Mary.
The policeman blamed the taxi driver for the accident.	Policjant obwinił taksówkarza o spowodowanie wypadku.
The population of Japan is larger than that of Canada.	Ludność Japonii jest większa niż Kanady.
The speed of light is much greater than that of sound.	Prędkość światła jest o wiele większa niż prędkość dźwięku.
The story is good except that it is a little too long.	Ta historia jest dobra, oprócz tego, że jest trochę zbyt długa.
The street outside Tom's apartment building was quiet.	Ulica, przy której leżało mieszkanie Toma, była cicha.
The teacher stressed the importance of daily practice.	Nauczyciel podkreślał wagę codziennych ćwiczeń.
There are crossword puzzles in almost every newspaper.	W prawie wszystkich czasopismach są krzyżówki.
There are usually taxis in front of the train station.	Zwykle naprzeciwko dworca są taksówki.
There is no use crying for help. No one will hear you.	Wzywanie pomocy nie ma sensu. Nikt cię nie usłyszy.
There'll always be someone who'll need our protection.	Zawsze znajdzie się ktoś, kto będzie potrzebował naszej ochrony.
There's not enough room in here for both Tom and Mary.	Tu nie ma dość miejsca jednocześnie dla Toma i Marii.
There's something I need to tell you before you leave.	Jest coś, co muszę ci powiedzieć, zanim pójdziesz.
They survived, even though the building was destroyed.	Przeżyli pomimo tego, że budynek został zniszczony.
They went to Edinburgh to escape from the summer heat.	Udali się do Edynburga aby uciec przed letnimi upałami.
This is a good opportunity to get to know one another.	To dobra okazja, byśmy się lepiej poznali.
This sentence needs to be checked by a native speaker.	To zdanie wymaga sprawdzenia przez rodowitego użytkownika.
Tom always carries a camera with him wherever he goes.	Tom zawsze nosi ze sobą aparat fotograficzny gdziekolwiek idzie.
Tom and Mary discussed the problem for almost an hour.	Tom i Mary omawiali problem prawie godzinę.
Tom appreciates everything that Mary has done for him.	Tom docenia wszystko, co Mary dla niego zrobiła.
Tom bent over to pick up a coin that was on the floor.	Tom się schylił by podnieść monetę z podłogi.
Tom couldn't go to the concert because he had to work.	Tom nie mógł iść na koncert, bo musiał pracować.
Tom did eventually tell me something I needed to know.	Tom wreszcie mi powiedział coś, co potrzebowałem wiedzieć.
Tom didn't feel very well, but he went to work anyway.	Tom nie czuł się zbyt dobrze, ale mimo to poszedł do pracy.
Tom didn't want to bother Mary while she was studying.	Tom nie chciał przeszkadzać Marii gdy się uczyła.
Tom didn't want to talk to Mary, but he had no choice.	Tom nie chciał rozmawiać z Mary, ale nie miał wyboru.
Tom forgot to ask Mary what he had planned to ask her.	Tom zapomniał zapytać Mary, o co miał ją zapytać.
Tom has already delivered the package to Mary's house.	Tom już dostarczył przesyłkę do domu Marii.
Tom has started to get a few wrinkles on his forehead.	Tom zaczął mieć kilka pryszczy na czole.
Tom is taller than any of the other kids in his class.	Tomek jest wyższy od wszystkich innych dzieci w klasie.
Tom is the type of a person who calls a spade a spade.	Tom jest tym typem człowieka, który nazywa rzeczy po imieniu.
Tom locked himself in the bathroom and started to cry.	Tom zatrzasnął się w łazience i zaczął płakać.
Tom made it clear that he didn't plan to go to Boston.	Tom wyjaśnił, że nie planuje jechać do Bostonu.
Tom missed the last train and had to take a taxi home.	Tom spóźnił się na ostatni pociąg i musiał wziąć taksówkę do domu.
Tom picked up the coffee pot and poured himself a cup.	Tom wziął dzbanek z kawą i nalał sobie do filiżanki.
Tom plans to swim as soon as he finishes his homework.	Tom planuje popływać, jak tylko skończy robić lekcje.
Tom poured cold water over himself to wake himself up.	Tom oblał się zimną wodą, żeby się obudzić.
Tom probably doesn't know how Mary managed to do that.	Tom prawdopodobnie nie wie, jak Mary udało się to zrobić.
Tom put off his wedding because of a traffic accident.	Tom odłożył swój ślub z powodu wypadku drogowego.
Tom reached into his pocket and pulled out his wallet.	Tom sięgnął do kieszeni i wyjął swój portfel.
Tom said something in French that I didn't understand.	Tom powiedział po francusku coś, czego nie zrozumiałem.
Tom said that Mary has been trying to do that all day.	Tom powiedział, że Mary próbuje to zrobić cały dzień.
Tom said that it probably wouldn't take too much time.	Tom powiedział, że to raczej nie powinno zająć zbyt dużo czasu.
Tom should apologize to Mary for not arriving on time.	Tom powinien przeprosić Mary za swoje spóźnienie.
Tom should apologize to Mary for not arriving on time.	Tom powinien przeprosić Mary za to, że nie przyszedł na czas.
Tom solved the puzzle after Mary gave him a few hints.	Tom rozwiązał zagadkę po tym jak Mary dała mu kilka wskazówek.
Tom talks to you more than he talks to any other girl.	Tom rozmawia z Tobą więcej niż z jakąkolwiek inną dziewczyną.
Tom thinks it impossible for Mary to break the record.	Tom myśli, że to niemożliwe aby Mary pobiła rekord.
Tom told Mary to wait for him in front of the station.	Tom kazał Mary zaczekać na niego przed dworcem.
Tom turned around when he heard someone yell his name.	Tom obrócił się, gdy usłyszał, jak ktoś krzyczy jego imię.
Tom used to live in the same apartment building as me.	Tom mieszkał w tym samym budynku, co ja.
Tom was angry at Mary because she parked in his space.	Tom był zły na Marię, bo zaparkowała na jego miejscu.
Tom wasn't stupid enough to talk about what he'd done.	Tom nie był na tyle głupi aby rozmawiać z Mary o tym co zrobił.
Tom would like to know the reason why Mary isn't here.	Tom chciałby poznać powód dlaczego Marii tutaj nie ma.
Tom's great-great-great grandmother lived in Scotland.	Prapraprababcia Toma mieszkała w Szkocji.
Use it as a body cream when you get out of the shower.	Użyj tego jako kremu do ciała po wyjściu z prysznica.
We all have things we don't want to tell others about.	Wszyscy mamy rzeczy, o których nie chcemy mówić innym.
We conducted our investigation with the greatest care.	Przeprowadziliśmy śledztwo z największą troską.
We could make it on time if we walked a little faster.	Moglibyśmy się z tym wyrobić, gdybyśmy szli trochę szybciej.
We couldn't play outdoors because of the intense heat.	Nie mogliśmy grać na zewnątrz z powodu intensywnego upału.
We couldn't play outdoors because of the intense heat.	Nie mogliśmy bawić się na zewnątrz z powodu intensywnego upału.
We don't know why there's more matter than antimatter.	Nie wiemy dlaczego jest więcej materii niż antymaterii.
We're usually busier in the summer than in the winter.	Zwykle jesteśmy bardziej zajęci latem niż zimą.
We've got a lot more work to do before we can go home.	Mamy sporo pracy do zrobienia, zanim będziemy mogli iść do domu.
Were you able to do everything you wanted to get done?	Byłeś w stanie zrobić wszystko, co chciałeś zrobić?
Were you able to do everything you wanted to get done?	Byłaś w stanie zrobić wszystko, co chciałaś zrobić?
Were you able to do everything you wanted to get done?	Byliście w stanie zrobić wszystko, co chcieliście zrobić?
What are some foods you usually eat with your fingers?	Jakie dania zazwyczaj się je palcami?
When I talked with him on the phone, he sounded tired.	Kiedy rozmawiałem z nim przez telefon wyglądał na zmęczonego.
When it rains, the buses are late more often than not.	Kiedy pada, autobusy przeważnie się spóźniają.
Which wire should I cut, the red one or the white one?	Który przewód powinienem przeciąć, ten czerwony czy ten biały?
Yesterday, Tom told me that he'd never been to Boston.	Wczoraj Tom mi powiedział, że nigdy nie był w Bostonie.
You can't keep Tom from doing whatever he wants to do.	Nie możesz powstrzymać Toma przed robieniem tego, co chce.
You should not climb the mountain in such bad weather.	Nie powinieneś wspinać się na tę górę przy takiej złej pogodzie.
You should try to make the most of your opportunities.	Powinieneś maksymalnie wykorzystywać szanse.
You're going to have to take care of this by yourself.	Sam będziesz musiał o to zadbać.
You're going to have to take care of this by yourself.	Sam będziesz musiał się tym zająć.
You're going to have to take care of this by yourself.	Sama będziesz musiała o to zadbać.
You're going to have to take care of this by yourself.	Sama będziesz musiała się tym zająć.
Your uncle and I have known each other for many years.	Znamy się z twoim wujem od wielu lat.
According to TV news, there was a plane crash in India.	Według wiadomości telewizyjnych, w Indiach miała miejsce katastrofa samolotu.
According to the Bible, God made the world in six days.	Według Biblii Bóg stworzył świat w sześć dni.
According to the paper, there was a big fire in Boston.	Według tej gazety, w Bostonie miał miejsce wielki pożar.
After I talked with my teacher, I decided to work hard.	Po rozmowie z moim nauczycielem postanowiłem ciężko pracować.
After reading his books I feel I can construct a house.	Po przeczytaniu jego książek czułem, że mogę zbudować dom.
All horses are animals, but not all animals are horses.	Wszystkie konie są zwierzętami, ale nie każde zwierzę jest koniem.
Apparently, we'll be getting a raise within two months.	Wygląda na to, że w ciągu dwóch miesięcy dostaniemy podwyżkę.
As soon as I can get the chance, I'll come for a visit.	Jak tylko będę miał okazję, wpadnę z wizytą.
As soon as I can get the chance, I'll come for a visit.	Wpadnę do ciebie przy najbliższej okazji.
As soon as I find it, I'll bring it over to your place.	Jak tylko znajdę, przyniosę ci.
As soon as the child saw his mother, he stopped crying.	Kiedy tylko dziecko zobaczyło swoją mamę przestało płakać.
Books are for people who wish they were somewhere else.	Książki są dla ludzi, którzy chcieliby znaleźć się gdzie indziej.
Can you remember the first word you learned in English?	Czy pamiętasz swoje pierwsze angielskie słowo?
Can you remember the first word you learned in English?	Pamiętasz pierwsze słowo, jakiego nauczyłeś się po angielsku?
Do you intend to make fun of me in front of my friends?	Planujesz mnie ośmieszyć przed moimi przyjaciółmi?
Do you really think that Tom will be able to help Mary?	Naprawdę myślisz, że Tom będzie w stanie pomóc Mary?
Do you think that eating with your family is important?	Uważasz, że jedzenie z rodziną jest ważne?
Do you think you would ever consider going out with me?	Czy rozważysz kiedyś wyjście razem ze mną?
Everybody in the park looked up at the hot air balloon.	Wszyscy ludzie w parku patrzyli do góry na balon.
Four people were in the car when the accident happened.	W czasie wypadku, w samochodzie były cztery osoby.
Germany adopted a social security system in the 1880's.	Niemcy wprowadziły system ubezpieczeń społecznych w latach 80. XIX wieku.
Had she known the results, she would have been shocked.	Gdyby znała rezultaty, byłaby zszokowana.
He has sold his car, so he goes to the office by train.	Sprzedał swoje auto, więc jeździ teraz do biura pociągiem.
He has the habit of reading the newspaper during meals.	Ma zwyczaj czytania gazety w czasie posiłków.
He listened to the news on the radio as he fed his dog.	Kiedy karmił swojego psa, słuchał wiadomości w radiu.
He listened to the news on the radio as he fed his dog.	Karmiąc psa, słuchał w radiu wiadomości.
He walked away too quickly for me to catch up with him.	Odszedł zbyt szybko, żebym mógł go dogonić.
He's been staying at that hotel for the past five days.	Przebywa w tamtym hotelu od pięciu dni.
How will they get through the cold winter in that tent?	Jak oni przeżyli ostrą zimę w tym namiocie?
I always have a look at the newspaper before breakfast.	Zawsze, przed śniadaniem, przeglądam gazetę.
I always tried to be strict with them and not to smile.	Ja zawsze próbowałem być stanowczy wobec nich i nigdy się nie uśmiechać.
I am terribly busy because the report deadline is near.	Jestem strasznie zajęty, ponieważ termin ukończenia raportu jest blisko.
I can't imagine anyone wanting to see that movie twice.	Nie umiem sobie wyobrazić nikogo, kto chciałby zobaczyć ten film dwa razy.
I can't live without you. You're the only woman for me.	Nie mogę bez ciebie żyć. Jesteś jedyną kobietą dla mnie.
I don't know where Tom was and I don't want to ask him.	Nie wiem, gdzie Tom był i nie chcę go pytać.
I don't think anyone has lived in this house for years.	Myślę, że od lat nikt nie mieszkał w tym domu.
I estimate that we'll need two days to finish the work.	Szacuję, że będziemy potrzebować dwóch dni na ukończenie pracy.
I felt so sleepy that I could hardly keep my eyes open.	Byłem tak śpiący, że ledwo mogłem utrzymać moje oczy otwarte.
I gave you explicit instructions not to touch anything.	Wyraźnie kazałem ci niczego nie dotykać.
I happened to find a bicycle discarded at the roadside.	Udało mi się natrafić na rower porzucony na skraju drogi.
I have fond memories of all the time we spent together.	Miło wspominam cały czas, który razem spędziliśmy.
I know that it is highly unlikely that anyone knows me.	Wiem, że mało prawdopodobne jest, że ktoś mnie zna.
I know you're probably mad about what I said yesterday.	Wiem, że prawdopodobnie jesteś zły na to, co powiedziałem wczoraj.
I listened but couldn't make out what they were saying.	Słuchałem, ale nie mogłem zrozumieć, co mówią.
I never answer email messages from people I don't know.	Nigdy nie odpowiadam na maile od nieznanych ludzi.
I never imagined so many people would come to my party.	Nie sądziłem, że tyle osób przyjdzie na moje przyjęcie.
I not only gave him some advice, I gave him some money.	Dałem mu nie tylko radę, ale także trochę pieniędzy.
I remembered riding home in a pickup truck last Sunday.	Przypomniałem sobie, jak w ostatnią niedzielę jechałem do domu małą ciężarówką.
I studied English for four years with a native speaker.	Uczyłem się angielskiego cztery lata u rodowitego użytkownika.
I take it that you are fully acquainted with the facts.	Zakładam, że dobrze znasz fakty.
I tend to look at the pictures before reading the text.	Zazwyczaj patrzę na obrazki przed przeczytaniem tekstu.
I think Boston is the most beautiful city in the world.	Uważam, że Boston jest najpiękniejszym miastem na świecie.
I thought I made it clear what you were supposed to do.	Myślałem, że wyraziłem się jasno, co masz zrobić.
I used to be able to speak French better than I do now.	Mówiłem po francusku lepiej niż teraz.
I used to dream about being able to breathe underwater.	Kiedyś marzyłem o tym, żeby być w stanie oddychać pod wodą.
I was ill, otherwise I would have attended the meeting.	Byłem chory, gdyby nie to, przyszedłbym na spotkanie.
I was nervous at first, but gradually got more relaxed.	Na początku byłem bardzo zdenerwowany, ale stopniowo się zrelaksowałem.
I will have read Hamlet three times if I read it again.	Gdybym przeczytał ponownie Hamleta, byłby to trzeci raz gdy go czytam.
I will postpone my trip to Scotland until it is warmer.	Odłożę moją podróż do Szkocji aż będzie cieplej.
I wish I could figure out how to embed a YouTube video.	Chciałbym się dowiedzieć, jak osadzić wideo z YouTube.
I wish I could figure out how to install this software.	Chciałbym się dowiedzieć, jak zainstalować ten program.
I wish I'd been able to visit you when I was in Boston.	Szkoda, że nie mogłem cię odwiedzić, gdy byłem w Bostonie.
I wonder who will help Tom decorate the Christmas tree.	Zastanawiam się, kto pomoże Tomowi ubrać choinkę.
I'd like to marry a girl who likes to play video games.	Chciałbym poślubić dziewczynę która lubi gry komputerowe.
I'm sorry that it has taken me so long to write to you.	Przepraszam, że tyle czasu zajęło mi napisanie do ciebie.
I've been trying to teach our baby to eat from a spoon.	Próbuję nauczyć nasze dziecko, by jadło z łyżki.
I've never met a person that I've disliked immediately.	Nigdy nie spotkałem osoby, która by mi się z miejsca nie spodobała.
If I had bought the painting then, I would be rich now.	Gdybym wtedy kupił ten obraz, teraz byłbym bogaty.
If I had known about the plan, I could have helped him.	Gdybym wtedy wiedział o planie, mógłbym mu pomóc.
If I were a bird, I would have been able to fly to you.	Gdybym był ptakiem, Potrafiłbym do ciebie przylecieć.
If I were in your situation, I would do the same thing.	Na twoim miejscu zrobiłbym to samo.
If he had told me the truth, I would have forgiven him.	Gdyby powiedział mi prawdę, wybaczyłbym mu.
If the weather is nice tomorrow, we will have a picnic.	Jeśli jutro będzie ładnie, zrobimy piknik.
If you pick up the velvet, you can feel how soft it is.	Jeśli weźmiesz do ręki aksamit, poczujesz jak jest miękki.
In 1683, the Turks besieged Vienna for the second time.	W roku 1683 Turcy oblegli Wiedeń po raz drugi.
In most cases, car accidents result from lack of sleep.	Przyczyną większości wypadków samochodowych jest niewyspanie.
In the United States there is a census every ten years.	W USA co dziesięć lat odbywa się spis ludności.
It is difficult to say which vehicle is more beautiful.	Trudno stwierdzić, który pojazd jest piękniejszy.
It is perfectly natural for him to be proud of his son.	To całkowicie naturalne, że jest dumny ze swojego syna.
It is said that there is a treasure buried around here.	Mówią, że w tej okolicy jest zakopany skarb.
It sounds as if the government doesn't know what to do.	Wygląda na to, że rząd nie wie co robić.
It was definitely Tom that I saw yesterday in the park.	To na pewno Toma widziałem wczoraj w parku.
It would be nice if you could make me something to eat.	Byłoby mi miło, gdybyś zrobił mi coś do jedzenia.
It's a pity we didn't visit Tom when we had the chance.	To przykre, że nie odwiedziliśmy Toma, kiedy mogliśmy.
It's difficult bringing up a child who is not your own.	Nie jest łatwo wychowywać nie swoje dziecko.
It's difficult bringing up a child who is not your own.	Trudno jest wychowywać cudze dziecko.
It's unlikely that a hacker could get into our website.	Mało prawdopodobne, by jakiś haker włamał się na naszą stronę.
It's unlikely that that movie will make a lot of money.	Wątpliwe, by ten film zarobił dużo.
It's unlikely that that movie will make a lot of money.	Mało prawdopodobne, by ten film przyniósł duże zyski.
It's unlikely that the typhoon will hit before morning.	Tajfun nie powinien uderzyć przed rankiem.
It's up to you to decide whether we'll go there or not.	Do ciebie należy decyzja czy pójdziemy tam, czy nie.
Lake Baikal in Russia is the deepest lake in the world.	Jezioro Bajkał w Rosji jest najgłębszym jeziorem na świecie.
Mary wanted Tom to spend more time with their children.	Mary chciała, żeby Tom spędzał więcej czasu z ich dziećmi.
Maybe you should let Tom go to Boston like he wants to.	Może powinieneś pozwolić Tomowi jechać do Bostonu, tak jak tego chce.
Maybe you should let Tom go to Boston like he wants to.	Może powinnaś pozwolić Tomowi jechać do Bostonu, tak jak tego chce.
Maybe you should let Tom go to Boston like he wants to.	Może powinniście pozwolić Tomowi jechać do Bostonu, tak jak tego chce.
My mother happened to be there when the fire broke out.	Moja mama przypadkiem tam była, gdy wybuchł ogień.
My mother said if I eloped, she would never forgive me.	Matka powiedziała, że jeśli dam nogę, to nigdy mi nie wybaczy.
Of the three boys, the youngest is the most attractive.	Z trójki chłopców, najmłodszy jest najatrakcyjniejszy.
Please move out of the way so this lady can go through.	Proszę przesunąć się, by ta pani mogła przejść.
She looks young, but actually she's older than you are.	Wygląda młodo, ale tak naprawdę jest starsza od ciebie.
She showed her guests how to eat what she had prepared.	Pokazała gościom, jak mają jeść to, co im przygotowała.
Since my mother was sick, I couldn't go to the concert.	Moja mama była chora, więc nie mogłem iść na koncert.
Since my mother was sick, I couldn't go to the concert.	Od kiedy moja matka była chora, nie mogłem pójść na koncert.
Since my mother was sick, I couldn't go to the concert.	Ponieważ moja matka była chora, nie mogłam iść na koncert.
Small enterprises are feeling the squeeze of inflation.	Małe przedsiębiorstwa odczuwają presję inflacji.
Some students neglect their studies in favor of sports.	Niektórzy uczniowie zaniedbali naukę na rzecz sportu.
Sometimes I wonder if I shouldn't have become a lawyer.	Czasem myślę sobie, że powinienem był zostać prawnikiem.
The extra room proved very useful when we had visitors.	Dodatkowy pokój okazał się bardzo przydatny, kiedy mieliśmy gości.
The hospital I usually go to is closed for renovations.	Szpital, do którego zwykle chodzę, jest zamknięty z powodu remontu.
The important thing is whether you do your best or not.	Ważne jest, czy dajesz z siebie wszystko.
The man you saw in my office yesterday is from Belgium.	Człowiek, którego widziałeś wczoraj w moim biurze pochodzi z Belgii.
The one and only dessert my son eats is chocolate cake.	Jedyny deser jaki je mój syn to ciasto czekoladowe.
The other day I discovered a book written by my father.	Innego dnia odkryłem książkę napisaną przez mojego ojca.
The plane should have arrived at Kansai Airport by now.	Samolot powinien był już przylecieć na lotnisko Kansai.
The population of Japan is larger than that of Britain.	Populacja Japonii jest większa niż populacja Brytanii.
The problem is that Tom doesn't always do his homework.	Problem w tym, że Tom nie zawsze odrabia zadania.
The question is how to say no without making Tom angry.	Pytanie, jak to powiedzieć, żeby nie rozzłościć Toma.
The radio is too loud. Can't you turn it down a little?	Radio jest za głośno. Może je pan ściszyć?
The rain made it impossible for us to go on the picnic.	Wskutek deszczu nie mogliśmy pojechać na piknik.
The salary of a teacher is lower than that of a lawyer.	Pensja nauczyciela jest niższa od pensji prawnika.
The sooner you return, the happier your father will be.	Im wcześniej wrócisz, tym szczęśliwszy będzie twój ojciec.
The teacher enjoyed talking with some of the graduates.	Nauczyciel chętnie rozmawiał z niektórymi absolwentami.
There must be a way we can convince Tom to work for us.	Musi być sposób, żeby przekonać Toma do pracy dla nas.
They couldn't comprehend the seriousness of the matter.	Nie potrafili zrozumieć powagi sytuacji.
They knelt down and prayed that the war would end soon.	Uklękli i modlili się, by wojna się szybko skończyła.
They sell things here that you can't get anywhere else.	Tutaj sprzedają rzeczy, których nie dostaniesz nigdzie indziej.
This is the most exciting story that I have ever heard.	To jest najbardziej ekscytująca historia, jaką kiedykolwiek słyszałem.
Tom and Mary were neighbors, but seldom saw each other.	Tom i Mary byli sąsiadami, ale rzadko się widywali.
Tom asked Mary if she had enjoyed herself at the party.	Tom spytał Mary, czy dobrze się bawiła na imprezie.
Tom asked Mary if she would help him with his homework.	Tom spytał Mary, czy pomoże mu z jego zadaniem.
Tom can't speak French. Tom can't speak Spanish either.	Tom nie mówi po francusku. Po hiszpańsku też nie.
Tom crumpled up the paper and threw it in the trashcan.	Tom zgniótł papier i wrzucił go do kosza.
Tom didn't tell anyone he had thought about doing that.	Tom nie powiedział nikomu, że myślał żeby to zrobić.
Tom didn't tell anyone he had thought about doing that.	Tom nie przyznał się nikomu, że zastanawiał się czy aby tego nie zrobić.
Tom didn't want to spend too much time discussing that.	Tom nie chciał spędzać tak dużo czasu, dyskutując o tym.
Tom found out Mary was stealing from the cash register.	Tom odkrył, że Mary okradała kasę.
Tom grabbed the fire extinguisher and put out the fire.	Tom chwycił gaśnicę i ugasił pożar.
Tom grabbed the fire extinguisher and put out the fire.	Tom chwycił gaśnicę i ugasił ogień.
Tom is always trying to make everybody think he's cool.	Tom zawsze próbuje sprawić, żeby wszyscy myśleli, jaki jest super.
